| 4 | 0.0110 | 0.0072 |
| 5 | 0.0100 | 0.0074 |
| 6 | 0.0105 | 0.0161 |
| 7 | 0.0248 | 0.0174 |
| 8 | 0.0302 | 0.0088 |
| 9 | 0.0134 | 0.0088 |
| 10 | 0.0181 | 0.0131 |
| 11 | 0.1122 | 0.0121 |
| 12 | 0.0907 | 0.0169 |
| 13 | 0.0472 | 0.0132 |
| 14 | 0.2193 | 0.0184 |
| 15 | 0.0792 | 0.0249 |
| 16 | 0.2882 | 0.0198 |
| 17 | 0.0414 | 0.2449 |
| 18 | 0.6266 | 0.0244 |
| 19 | 0.2557 | 0.0335 |
| 20 | 0.4512 | 0.0323 |
| 21 | 0.5872 | 0.0355 |
| 22 | 0.5527 | 0.0386 |
| 23 | 0.7801 | 0.0287 |
| 24 | 0.7496 | 0.0290 |
| 25 | 0.8592 | 0.1093 |
| 26 | 0.6496 | 0.0378 |
| 27 | 2.1110 | 0.0394 |
| 28 | 0.4009 | 0.0542 |
| 29 | 1.2193 | 0.0727 |
| 30 | 1.6506 | 0.0497 |
| 31 | 1.0758 | 0.6075 |
| 32 | 1.4434 | 0.0702 |
| 33 | 6.5438 | 0.0989 |
| 34 | 2.2946 | 0.0893 |
| 35 | 3.4797 | 0.0801 |
| 36 | 11.4958 | 0.0925 |
| 37 | 2.8874 | 0.1110 |
| 38 | 16.4952 | 0.6867 |
| 39 | 15.6673 | 0.1379 |
| 40 | 24.6798 | 0.2134 |
